fecha;hospital;provincia;camas_iniciales_planta;camas_habilitadas_planta;camas_ocupadas_planta;camas_iniciales_uci;camas_habilitadas_uci;camas_ocupadas_uci;camas_ocupadas_covid_uci;codigo_ine
18/02/2022;Hospital Santiago Apóstol;Burgos;114;110;56;0;0;0;0;9059
18/02/2022;Hospital Santos Reyes;Burgos;114;114;81;0;0;0;0;9059
18/02/2022;Complejo Asistencial Universitario de León;León;850;876;641;44;62;37;9;24089
18/02/2022;Hospital El Bierzo;León;391;391;286;14;17;4;1;24089
18/02/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;712;593;60;61;37;6;37274
18/02/2022;Complejo Asistencial de Segovia;Segovia;365;325;218;16;31;7;3;40004
18/02/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;650;517;57;66;45;8;47186
18/02/2022;Hospital de Medina del Campo;Valladolid;119;119;70;0;0;0;0;47186
19/02/2022;Hospital Santos Reyes;Burgos;114;114;69;0;0;0;0;9059
19/02/2022;Complejo Asistencial Universitario de León;León;850;876;555;44;62;37;10;24089
19/02/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;648;442;57;66;35;8;47186
20/02/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;407;279;20;23;13;3;34120
20/02/2022;Complejo Asistencial de Soria;Soria;319;278;159;14;14;10;3;42173
20/02/2022;Hospital Universitario Río Hortega;Valladolid;573;542;421;33;37;29;12;47186
20/02/2022;Complejo Asistencial de Zamora;Zamora;395;367;275;17;19;7;4;49275
21/02/2022;Hospital Santiago Apóstol;Burgos;114;107;54;0;0;0;0;9059
21/02/2022;Hospital El Bierzo;León;391;391;293;14;17;2;1;24089
21/02/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;710;529;60;61;35;6;37274
21/02/2022;Complejo Asistencial de Segovia;Segovia;365;325;203;16;31;5;3;40004
21/02/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
22/02/2022;Complejo Asistencial Universitario de Burgos;Burgos;842;770;551;42;47;32;6;9059
22/02/2022;Hospital Santos Reyes;Burgos;114;114;68;0;0;0;0;9059
22/02/2022;Complejo Asistencial de Soria;Soria;319;281;184;14;14;9;3;42173
22/02/2022;Hospital Clínico Universitario de Valladolid;Valladolid;674;653;503;57;66;43;6;47186
22/02/2022;Hospital Universitario Río Hortega;Valladolid;573;540;464;33;41;38;11;47186
22/02/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
22/02/2022;Complejo Asistencial de Zamora;Zamora;395;366;307;17;19;8;4;49275
23/02/2022;Hospital El Bierzo;León;391;391;284;14;17;1;0;24089
23/02/2022;Complejo Asistencial Universitario de Palencia;Palencia;451;426;304;20;23;13;2;34120
23/02/2022;Complejo Asistencial de Soria;Soria;319;281;179;14;14;9;3;42173
24/02/2022;Complejo Asistencial de Ávila;Ávila;422;360;250;14;14;8;2;5019
24/02/2022;Complejo Asistencial Universitario de León;León;850;876;630;44;62;38;9;24089
24/02/2022;Complejo Asistencial de Segovia;Segovia;365;325;196;16;31;10;3;40004
24/02/2022;Complejo Asistencial de Soria;Soria;319;283;178;14;14;9;3;42173
24/02/2022;Hospital de Medina del Campo;Valladolid;119;119;61;0;0;0;0;47186
24/02/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
25/02/2022;Complejo Asistencial de Ávila;Ávila;422;360;241;14;14;8;2;5019
25/02/2022;Complejo Asistencial Universitario de León;León;850;876;629;44;62;34;8;24089
25/02/2022;Edificio Rondilla;Valladolid;0;0;0;0;0;0;0;47186
26/02/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;719;538;60;61;32;4;37274
26/02/2022;Hospital de Medina del Campo;Valladolid;119;119;51;0;0;0;0;47186
26/02/2022;Complejo Asistencial de Zamora;Zamora;395;360;267;17;19;8;6;49275
27/02/2022;Complejo Asistencial de Ávila;Ávila;422;360;229;14;14;6;1;5019
27/02/2022;Hospital Santos Reyes;Burgos;114;114;59;0;0;0;0;9059
27/02/2022;Complejo Asistencial Universitario de Salamanca;Salamanca;721;719;547;60;61;30;4;37274
27/02/2022;Complejo Asistencial de Segovia;Segovia;365;325;177;16;31;3;2;40004
27/02/2022;Hospital Universitario Río Hortega;Valladolid;573;543;396;33;41;39;12;47186
27/02/2022;Complejo Asistencial de Zamora;Zamora;395;360;258;17;19;7;6;49275
28/02/2022;Complejo Asistencial Universitario de León;León;850;876;618;44;62;28;7;24089
28/02/2022;Hospital El Bierzo;León;391;391;273;14;14;4;0;24089
28/02/2022;Hospital de Medina del Campo;Valladolid;119;119;58;0;0;0;0;47186
